yt,mu_t
3.0692,3.0692
6.7121,4.4352875
0.5711,3.1908881355932204
2.122,2.8736615017878426
14.5181,6.181480919873708
3.303,5.382724159828358
2.765,4.6653546155157875
1.9447,3.9247356976698238
1.4474,3.2527476550698013
6.5017,4.132371228200031
2.7507,3.758674189797832
3.7948,3.768439788920459
3.7756,3.7703747964423835
3.1704,3.6082596703541503
3.4981,3.5784965924085936
6.8406,4.459817606009385
3.7551,4.269428759817781
4.8222,4.418765436246062
3.9653,4.2962580175566
2.658,3.8536706781351455
3.3734,3.7239222963242904
1.0804,3.0097575212481535
6.7529,4.020991321351094
1.7216,3.399796273564271
5.5931,3.9923310007916113
2.7267,3.6504128929426654
4.7233,3.940260023570849
4.2175,4.0151581273120724
2.5537,3.6203361304097927
1.6059,3.076123692382443
6.7449,4.067266405712446
6.5552,4.739397122327558
2.6176,4.16618044876604
2.0435,3.592725139375899
11.3686,5.693426036368625
2.9554,4.953731294253823
3.7618,4.631723650958302
4.6676,4.641415869511651
2.3042,4.01000248386216
2.9324,3.718881478914572
2.8326,3.4794470319172994
2.2052,3.135201280784525
3.0339,3.1078341105099763
4.9699,3.610882777470546
1.7451,3.106829970133461
2.7317,3.0054862784426515
5.5938,3.7047353085940924
3.7813,3.7254197355874354
3.2598,3.599629671648452
7.8057,4.735925698421649
12.5508,6.847162535989131
3.4027,5.91661958533251
2.3163,4.943970884631794
4.9057,4.933631767414692
6.3096,5.305358132785658
6.3244,5.58065862337089
3.4566,5.006830991887714
2.4782,4.323705621898095
2.792,3.9099058333836076
2.0617,3.4106015466776203
6.1016,4.1375914949796435
7.5055,5.047452898626229
3.3044,4.576556330441481
3.6158,4.3170020396777105
2.5028,3.826884089068573
4.6102,4.038501748264593
3.0912,3.782582296454046
4.0922,3.866227442372418
2.6161,3.5284977481843005
5.1447,3.9651248261532483
1.852,3.394251027907764
2.376,3.119164187473796
1.5587,2.697595093824515
1.7993,2.4549150941340026
2.0181,2.3369067830144057
1.3669,2.0748534250254353
1.8802,2.022266593092723
4.2498,2.624048580120327
1.5221,2.3263503260376845
1.2279,2.0295971470261733
1.9778,2.0156038259998237
3.429,2.397441582241584
2.7599,2.495361975344187
3.483,2.7621785227855935
1.9109,2.5322003418221497
1.5576,2.26890600538667
2.6136,2.3620272292263116
2.3325,2.3540502648314656
0.6791,1.9015520462111926
0.6751,1.5702184073645522
3.3529,2.051820913404251
2.3148,2.1228663472404232
2.128,2.124253235423015
1.9298,2.0717204859549483
1.6712,1.96351738869237
2.7863,2.1857972221570976
3.6446,2.579901854486965
2.4316,2.5398371872652272
1.2834,2.200402876298992
3.1579,2.45907667211605
1.305,2.1472956901677462
6.4936,3.3214767981534212
1.8195,2.915708436045194
4.4878,3.3404187376785903
3.0601,3.2646888893907016
3.3746,3.294382058675515
2.8478,3.173735141413898
8.1738,4.524533722722039
4.1288,4.41762379928159
1.5081,3.6315978713172865
1.1789,2.9689863055365673
1.2877,2.5147763661611395
3.2212,2.705621099055646
1.4368,2.3628411973919587
2.989,2.532001887534631
2.0541,2.4028937239519674
2.632,2.464788207605123
1.4976,2.203496305271599
1.8638,2.111725238252631
1.1949,1.864039204937984
2.0815,1.9227875895625337
1.3515,1.7684506984770378
2.6168,1.9976375321204352
2.5188,2.138432810212455
3.1049,2.39952992510369
1.586,2.179749762293456
1.8715,2.0964741742019215
2.388,2.1752316869622828
1.6246,2.0264751162760604
3.8855,2.5287022366380407
1.8175,2.3365665345132682
1.9876,2.2422910574791888
